調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油
2001/6/29,18.4,19.5,20.7,14.1
2001/4/5,18.9,20.0,21.2,14.3
2000/11/3,19.2,20.2,21.2,14.6
2000/10/27,19.5,20.5,21.5,14.9
2000/9/27,19.2,20.2,21.2,14.7
2000/9/20,19.6,20.6,21.6,14.9
2000/8/2,18.3,19.3,20.3,14.3
2000/6/21,18.6,19.6,20.6,14.5
2000/3/29,18.1,19.1,20.1,14.2
2000/2/16,17.6,18.6,19.6,13.8
1999/12/8,17.2,18.2,19.2,13.4
1999/11/10,16.8,17.8,18.8,13.0
1999/9/1,16.4,17.4,18.4,12.7
1999/8/11,16.4,17.4,18.4,12.7
1999/7/14,16.0,17.0,18.0,12.4
